FID;field_1;field_2;x;y
325;289653,988014376023784;4601549,763352369889617;289654,0000000;4601550,0000000
326;297733,844084142008796;4613790,171503179706633;297734,0000000;4613790,0000000
327;286691,276237690995913;4588162,253587219864130;286691,0000000;4588160,0000000
328;287326,739286904979963;4601694,956521700136364;287327,0000000;4601700,0000000
329;315021,021012049983256;4604095,860148360021412;315021,0000000;4604100,0000000
330;300440,719976890017278;4615020,974509789608419;300441,0000000;4615020,0000000
331;291833,032947396975942;4601876,393666090443730;291833,0000000;4601880,0000000
332;316644,502833991020452;4603054,226470449939370;316644,0000000;4603050,0000000
333;306713,215970802993979;4616711,744914139620960;306713,0000000;4616710,0000000
334;306125,781096501974389;4612109,129432950168848;306126,0000000;4612110,0000000
335;307741,860815542982891;4610494,790115839801729;307742,0000000;4610500,0000000
336;310281,968082977982704;4599554,977510490454733;310282,0000000;4599560,0000000
337;306726,210594744014088;4612269,353667140007019;306726,0000000;4612270,0000000
338;306191,775899159023538;4608950,810902999714017;306192,0000000;4608950,0000000
339;303202,920158001012169;4601558,985946930013597;303203,0000000;4601560,0000000
340;289441,261799574014731;4601348,100187609903514;289441,0000000;4601350,0000000
341;287066,575045034987852;4595884,209468649700284;287067,0000000;4595880,0000000
342;282203,097263464005664;4592204,723184470087290;282203,0000000;4592200,0000000
343;316420,211052128986921;4611594,550251370295882;316420,0000000;4611590,0000000
344;311579,252105424995534;4617878,363366420380771;311579,0000000;4617880,0000000
345;299285,857368089025840;4627325,970085649751127;299286,0000000;4627330,0000000
346;305152,155527586000971;4601248,488551570102572;305152,0000000;4601250,0000000
347;301377,516300952993333;4602742,752317549660802;301378,0000000;4602740,0000000
348;316684,085187577991746;4598196,279897830449045;316684,0000000;4598200,0000000
349;315311,639967265015002;4597779,511734040454030;315312,0000000;4597780,0000000
350;310092,611060920986347;4616472,317682960070670;310093,0000000;4616470,0000000
351;312070,300775923999026;4600440,439003299921751;312070,0000000;4600440,0000000
352;314207,136908683984075;4624523,723756380379200;314207,0000000;4624520,0000000
353;304981,451924439985305;4614246,814955960027874;304981,0000000;4614250,0000000
354;311025,617017954005860;4598994,290936020202935;311026,0000000;4598990,0000000
355;300514,497238832002040;4603051,432372259907424;300514,0000000;4603050,0000000
356;311104,401657017006073;4598909,175179780460894;311104,0000000;4598910,0000000
357;293173,353438279998954;4607151,043468300253153;293173,0000000;4607150,0000000
358;310700,694811265973840;4601801,048892149701715;310701,0000000;4601800,0000000
359;282043,021808483987115;4594875,718955649994314;282043,0000000;4594880,0000000
360;317290,111237860983238;4596428,018104200251400;317290,0000000;4596430,0000000
361;288996,167928370996378;4601973,311606139875948;288996,0000000;4601970,0000000
362;306386,712587276997510;4612623,878957870416343;306387,0000000;4612620,0000000
363;313228,963821274985094;4597597,767211600206792;313229,0000000;4597600,0000000
364;299899,466756091977004;4619679,845565480180085;299899,0000000;4619680,0000000
365;287709,840507565008011;4609112,922623859718442;287710,0000000;4609110,0000000
366;304916,159125371021219;4614060,960243239998817;304916,0000000;4614060,0000000
367;305077,434112987015396;4614395,953346139751375;305077,0000000;4614400,0000000
368;315281,286456421017647;4603929,127379430457950;315281,0000000;4603930,0000000
369;296418,755606100021396;4613843,296320280060172;296419,0000000;4613840,0000000
370;291087,561195952002890;4602686,384784179739654;291088,0000000;4602690,0000000
371;297548,049380070006009;4606683,248886760324240;297548,0000000;4606680,0000000
372;312488,241084186010994;4618509,974600589834154;312488,0000000;4618510,0000000
373;296771,440219982003327;4606074,557879690080881;296771,0000000;4606070,0000000
374;299644,872948987002019;4595022,137218129821122;299645,0000000;4595020,0000000
375;292143,962401039025281;4607260,183626020327210;292144,0000000;4607260,0000000
376;312830,986831162008457;4618893,888334480114281;312831,0000000;4618890,0000000
377;313745,653420566988643;4623755,501051519997418;313746,0000000;4623760,0000000
378;314052,327169983007479;4604712,258026610128582;314052,0000000;4604710,0000000
379;315174,738200690015219;4612069,827359659597278;315175,0000000;4612070,0000000
380;296814,498684212972876;4612971,589130129665136;296814,0000000;4612970,0000000
381;286941,895505084015895;4601562,967994269914925;286942,0000000;4601560,0000000
382;289165,836131675983779;4602065,517104679718614;289166,0000000;4602070,0000000
383;291523,773201024974696;4604447,277633150108159;291524,0000000;4604450,0000000
384;292062,082464012026321;4605418,124815819784999;292062,0000000;4605420,0000000
385;292622,775748569983989;4606412,866760290227830;292623,0000000;4606410,0000000
